startTime,label,work
104441,6,巻取準備（上）
104525,2,書類作成
104533,5,インクローラー調整
104902,12,製品確認
104928,8,サンプル作成
105437,13,人がいない
105608,2,書類作成
106609,6,巻取準備（上）
105623,2,書類作成
105628,6,巻取準備（上）
105731,2,書類作成
105745,1,その他
105750,12,製品確認
105802,1,その他
105824,9,インク調整
105828,4,原紙
105852,13,人がいない
105956,4,原紙
110000,1,その他
110051,12,製品確認
110058,4,原紙
110126,2,書類作成
110152,11,作業台での作業
110213,12,製品確認
110224,4,原紙
110250,2,書類作成
110305,13,人がいない
110318,1,その他
110339,12,製品確認
110353,2,書類作成
110501,1,その他
110504,12,製品確認
110522,4,原紙
110531,13,人がいない
110721,1,その他
110743,12,製品確認
110818,4,原紙
110831,12,製品確認
110909,4,原紙
110913,13,人がいない
110934,4,原紙
110938,1,その他
110941,12,製品確認
111015,4,原紙
111021,12,製品確認
111125,2,書類作成
111205,12,製品確認
111210,4,原紙
111225,12,製品確認
111240,5,インクローラー調整
111307,2,書類作成
111314,4,原紙
111515,12,製品確認
111537,1,その他
111546,6,巻取準備（上）
111645,1,その他
110801,8,サンプル作成
112025,1,その他
112217,4,原紙
112258,11,作業台での作業
112350,1,その他
112354,12,製品確認
112402,2,書類作成
112443,1,その他
112457,4,原紙
112537,12,製品確認
112727,4,原紙
112738,12,製品確認
113029,1,その他
113054,12,製品確認
113223,2,書類作成
113233,4,原紙
113455,12,製品確認
113517,4,原紙
113521,7,巻取準備（下）
113627,1,その他
113636,6,巻取準備（上）
113732,12,製品確認
113739,8,サンプル作成
113957,1,その他
114025,8,サンプル作成
114041,1,その他
114113,4,原紙
114155,11,作業台での作業
114218,1,その他
114223,12,製品確認
114229,1,その他
114336,4,原紙
114413,12,製品確認
114439,4,原紙
114450,13,人がいない
114634,1,その他
114639,12,製品確認
114723,4,原紙
114734,12,製品確認
114748,1,その他
114813,12,製品確認
114835,1,その他
114839,12,製品確認
114849,4,原紙
114900,12,製品確認
114912,13,人がいない
114940,12,製品確認
115010,8,サンプル作成
115041,11,作業台での作業
115051,12,製品確認
115247,5,インクローラー調整
115258,2,書類作成
115305,4,原紙
115551,12,製品確認
115610,1,その他
115626,6,巻取準備（上）
115729,12,製品確認
115749,8,サンプル作成
120018,1,その他
120241,13,人がいない
120852,1,その他
120859,13,人がいない
122147,1,その他
122914,13,人がいない
123443,11,作業台での作業
123448,4,原紙
123456,1,その他
124536,4,原紙
124607,11,作業台での作業
124628,1,その他
124631,12,製品確認
124651,1,その他
124711,4,原紙
124717,13,人がいない
124727,1,その他
124736,12,製品確認
124810,4,原紙
124842,1,その他
124908,12,製品確認
124915,4,原紙
124924,11,作業台での作業
124937,2,書類作成
124948,12,製品確認
125100,1,その他
125115,12,製品確認
125148,2,書類作成
125156,12,製品確認
125225,1,その他
125229,12,製品確認
125334,4,原紙
125343,13,人がいない
125407,1,その他
125412,12,製品確認
125542,4,原紙
125554,1,その他
125559,12,製品確認
125905,2,書類作成
125912,1,その他
125921,4,原紙
130137,12,製品確認
130200,4,原紙
130203,7,巻取準備（下）
130317,1,その他
130324,6,巻取準備（上）
130421,1,その他
130423,12,製品確認
130428,3,シリンダー準備
130508,8,サンプル作成
130945,1,その他
131021,4,原紙
131052,2,書類作成
131116,1,その他
131230,4,原紙
131310,1,その他
131312,12,製品確認
131316,2,書類作成
131332,12,製品確認
131348,5,インクローラー調整
131350,9,インク調整
131354,1,その他
131420,12,製品確認
131529,13,人がいない
131553,4,原紙
131557,1,その他
131600,12,製品確認
131620,2,書類作成
131720,12,製品確認
131725,4,原紙
131748,1,その他
131755,12,製品確認
131957,2,書類作成
132002,5,インクローラー調整
132015,4,原紙
132241,12,製品確認
132307,1,その他
132319,6,巻取準備（上）
132453,12,製品確認
132500,13,人がいない
132655,4,原紙
132708,1,その他
132711,13,人がいない
132721,8,サンプル作成
133037,1,その他
133153,12,製品確認
133157,4,原紙
133244,2,書類作成
133316,1,その他
133319,12,製品確認
133327,4,原紙
133426,12,製品確認
133433,13,人がいない
133503,12,製品確認
133541,4,原紙
133549,12,製品確認
133834,4,原紙
133858,1,その他
133904,12,製品確認
133933,4,原紙
133958,12,製品確認
134017,2,書類作成
134023,5,インクローラー調整
134035,4,原紙
134303,12,製品確認
134320,1,その他
134331,6,巻取準備（上）
134452,7,巻取準備（下）
134558,12,製品確認
134610,1,その他
134731,8,サンプル作成
134941,1,その他
135049,8,サンプル作成
135140,1,その他
135153,12,製品確認
135157,2,書類作成
135159,11,作業台での作業
135225,12,製品確認
135232,4,原紙
135312,11,作業台での作業
135335,2,書類作成
135346,1,その他
135351,4,原紙
135437,12,製品確認
135516,2,書類作成
135522,12,製品確認
135659,1,その他
135703,12,製品確認
135716,1,その他
135722,13,人がいない
135833,1,その他
135836,12,製品確認
135848,13,人がいない
135905,4,原紙
135909,12,製品確認
140024,1,その他
140042,12,製品確認
140112,2,書類作成
140118,5,インクローラー調整
140130,4,原紙
140209,1,その他
140215,13,人がいない
140532,4,原紙
140537,13,人がいない
140544,4,原紙
140726,12,製品確認
140751,1,その他
140754,4,原紙
140758,1,その他
140807,6,巻取準備（上）
140921,8,サンプル作成
141142,1,その他
141145,2,書類作成
141212,1,その他
141247,12,製品確認
141249,4,原紙
141400,2,書類作成
141417,4,原紙
141444,12,製品確認
141457,1,その他
141459,12,製品確認
141526,1,その他
141534,13,人がいない
141712,1,その他
141715,12,製品確認
141722,4,原紙
141725,12,製品確認
141738,13,人がいない
141853,1,その他
141857,12,製品確認
141905,13,人がいない
142010,4,原紙
142012,1,その他
142015,12,製品確認
142021,1,その他
142048,4,原紙
142057,13,人がいない
142158,1,その他
142202,12,製品確認
142214,4,原紙
142235,12,製品確認
142238,2,書類作成
142247,12,製品確認
142258,13,人がいない
142328,1,その他
142331,12,製品確認
142426,2,書類作成
142432,5,インクローラー調整
142447,4,原紙
142713,12,製品確認
142730,4,原紙
142736,7,巻取準備（下）
142846,1,その他
142858,6,巻取準備（上）
143020,1,その他
143025,12,製品確認
143042,1,その他
143113,8,サンプル作成
143333,1,その他
143426,8,サンプル作成
143504,4,原紙
143558,2,書類作成
143618,4,原紙
143651,1,その他
143655,12,製品確認
143657,2,書類作成
143723,1,その他
143729,12,製品確認
143740,9,インク調整
143745,11,作業台での作業
143808,12,製品確認
143821,4,原紙
143853,12,製品確認
143952,1,その他
143956,12,製品確認
144000,4,原紙
144024,13,人がいない
144038,1,その他
144046,12,製品確認
144238,1,その他
144314,12,製品確認
144507,1,その他
144511,12,製品確認
144533,2,書類作成
144538,5,インクローラー調整
144551,4,原紙
144805,12,製品確認
144823,1,その他
144826,4,原紙
144834,1,その他
144847,6,巻取準備（上）
145009,12,製品確認
145016,8,サンプル作成
145234,1,その他
145403,4,原紙
145444,2,書類作成
145517,11,作業台での作業
145524,1,その他
145530,12,製品確認
145544,1,その他
145611,8,サンプル作成
145706,1,その他
145712,4,原紙
145745,12,製品確認
145953,2,書類作成
150008,4,原紙
150015,1,その他
150018,13,人がいない
150740,1,その他
150919,13,人がいない
151057,12,製品確認
151101,1,その他
151103,12,製品確認
151108,1,その他
151116,12,製品確認
151120,4,原紙
151133,13,人がいない
151201,12,製品確認
151219,4,原紙
151241,1,その他
151245,12,製品確認
151453,4,原紙
151513,12,製品確認
151625,2,書類作成
151630,5,インクローラー調整
151647,4,原紙
151907,12,製品確認
151925,4,原紙
151931,7,巻取準備（下）
152103,1,その他
152118,6,巻取準備（上）
152225,12,製品確認
152232,8,サンプル作成
152532,12,製品確認
152551,8,サンプル作成
152629,1,その他
152657,4,原紙
152759,11,作業台での作業
152821,8,サンプル作成
152839,1,その他
152841,12,製品確認
152910,4,原紙
152915,12,製品確認
153006,1,その他
153011,4,原紙
153044,1,その他
153050,12,製品確認
153114,2,書類作成
153133,12,製品確認
153301,1,その他
153409,4,原紙
153436,13,人がいない
153455,12,製品確認
153752,2,書類作成
153805,5,インクローラー調整
153822,4,原紙
153826,3,シリンダー準備
153833,4,原紙
154109,12,製品確認
154130,1,その他
154133,4,原紙
154136,1,その他
154145,6,巻取準備（上）
154334,12,製品確認
154340,8,サンプル作成
154532,13,人がいない
154544,8,サンプル作成
154720,1,その他
154739,12,製品確認
154744,8,サンプル作成
154910,12,製品確認
154917,4,原紙
154920,8,サンプル作成
154927,13,人がいない
154943,1,その他
154949,13,人がいない
155052,1,その他
155057,13,人がいない
155218,1,その他
155220,12,製品確認
155227,13,人がいない
155303,1,その他
155306,12,製品確認
155310,4,原紙
155334,1,その他
155338,12,製品確認
155341,13,人がいない
155446,1,その他
155452,8,サンプル作成
155516,12,製品確認
155521,13,人がいない
155617,4,原紙
155638,1,その他
155641,13,人がいない
155930,8,サンプル作成
155948,5,インクローラー調整
160001,4,原紙
160007,2,書類作成
160017,4,原紙
160237,12,製品確認
160255,1,その他
160258,4,原紙
160300,1,その他
160309,6,巻取準備（上）
160436,7,巻取準備（下）
160607,12,製品確認
160616,8,サンプル作成
160620,13,人がいない
160848,1,その他
160853,13,人がいない
160939,1,その他
161055,4,原紙
161100,13,人がいない
161523,8,サンプル作成
161821,1,その他
161855,4,原紙
161858,1,その他
161907,8,サンプル作成
161942,1,その他
162003,4,原紙
162024,2,書類作成
162048,12,製品確認
162051,4,原紙
162055,13,人がいない
162059,4,原紙
162117,5,インクローラー調整
162129,2,書類作成
162137,4,原紙
162354,12,製品確認
162415,1,その他
162420,5,インクローラー調整
162436,1,その他
162451,6,巻取準備（上）
162627,4,原紙
162639,1,その他
162703,8,サンプル作成
162927,12,製品確認
162931,8,サンプル作成
163010,1,その他
163017,13,人がいない
163030,4,原紙
163035,1,その他
163050,4,原紙
163103,12,製品確認
163132,2,書類作成
163223,1,その他
163230,12,製品確認
163242,4,原紙
163323,12,製品確認
163337,8,サンプル作成
163411,12,製品確認
163439,13,人がいない
163507,4,原紙
163515,1,その他
163520,12,製品確認
163547,2,書類作成
163603,12,製品確認
163621,4,原紙
163645,12,製品確認
163714,11,作業台での作業
163758,1,その他
163801,12,製品確認
163811,4,原紙
163826,12,製品確認
163928,4,原紙
163947,12,製品確認
164034,2,書類作成
164124,12,製品確認
164131,2,書類作成
164157,12,製品確認
164203,7,巻取準備（下）
164303,6,巻取準備（上）
164325,2,書類作成
164356,6,巻取準備（上）
164503,1,その他
164554,2,書類作成
164645,3,シリンダー準備
164743,2,書類作成
164759,13,人がいない
164809,2,書類作成
164811,4,原紙
164816,3,シリンダー準備
164903,1,その他
164941,3,シリンダー準備
164950,5,インクローラー調整
165007,2,書類作成
165014,5,インクローラー調整
165024,13,人がいない
165224,2,書類作成
165455,1,その他
165520,2,書類作成
165753,1,その他
165910,13,人がいない
